platform,collection,country,audience,actionability_status,next_action,action_url,cost,execution_confidence,difficulty,publishing_time,evidence_action_url,blocker,missing,native_score,native_signal,source_collection_url
1-800-DENTIST,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
104 Job Bank,Business Directories,Taiwan,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
118000.fr,Business Directories,France,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
11870,Business Directories,Spain,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
11880.com,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Easy,Unknown,unknown,,the action URL,96,"tier tier1, priority P2",/research/business-directories/opportunities/
11888.gr,Business Directories,Greece,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
11st,Business Directories,South Korea,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
1688,Marketplace & Classified Platforms,China,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,78,"accepts business sellers, freemium",/research/marketplaces/
1819,Business Directories,Iceland,country-specific,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,78,"tier tier2, priority P2",/research/business-directories/opportunities/
192.com,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
1stDibs,Marketplace & Classified Platforms,United States,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
