forum,url,country,language,primary_topic,topics,forum_type,status,domain_rating,domain_rating_provider,last_verified_at,registration_access,registration_cost,thread_creation,reply_posting,profile_website_available,profile_backlink_type,profile_link_target_type,profile_indexability,post_body_backlink_type,post_body_link_target_type,thread_indexability,signature_backlink_type,evidence_checked_at
&#x30B9;&#x30BF;&#x30C3;&#x30AF;&#x30FB;&#x30AA;&#x30FC;&#x30D0;&#x30FC;&#x30D5;&#x30ED;&#x30FC;,https://ja.stackoverflow.com/,,zh,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT,Q_AND_A,UNKNOWN,92,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
&#x420;&#x443;&#x441;&#x441;&#x43A;&#x438;&#x439; &#x44F;&#x437;&#x44B;&#x43A;,https://rus.stackexchange.com/,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,Q_AND_A,UNKNOWN,91,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
💫 The Prodigy Game Discourse Group - A place to talk about the Prodigy Education franchise.,https://prodigy-game.discourse.group/,,en,EDUCATION_STUDENTS,EDUCATION_STUDENTS,OTHER,ACTIVE,81,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
1001experiments.darkbb.com,https://1001experiments.darkbb.com/,,en,ANIMALS_PETS,ANIMALS_PETS; GOVERNMENT_PUBLIC_SECTOR,INDEPENDENT,DORMANT,51,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
1879.rpg-board.net,https://1879.rpg-board.net/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; GAMING_ESPORTS; NEWS_POLITICS_SOCIETY,INDEPENDENT,DORMANT,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
2C Exchange - 2C Exchange,https://2ndcareers-community.discourse.group/,,en,CAREERS_HR_RECRUITMENT,CAREERS_HR_RECRUITMENT,OTHER,ACTIVE,81,Ahrefs,2026-08-26,OPEN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
2wittykittys.rpg-board.net,https://2wittykittys.rpg-board.net/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; HEALTH_MEDICINE; GAMING_ESPORTS; ANIMALS_PETS; NEWS_POLITICS_SOCIETY,HOBBY_COMMUNITY,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
32-Bit Cafe,https://discourse.32bit.cafe/,,en,WEB_HOSTING_DOMAINS,WEB_HOSTING_DOMAINS; TECHNOLOGY_SOFTWARE; CREATIVE_DESIGN,OTHER,ACTIVE,55,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
3456.catsboard.com,https://3456.catsboard.com/,,en,HEALTH_MEDICINE,HEALTH_MEDICINE; MUSIC_ENTERTAINMENT_CULTURE; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,45,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
3D Printing Stack Exchange,https://3dprinting.stackexchange.com/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,Q_AND_A,UNKNOWN,91,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
