id,name,website,country,marketplace_type,also_covers,seller_types,cost,operator,current_status,note
mp-al-duapune,DuaPune,https://www.duapune.com/,albania,jobs,,business,paid,,active,An Albanian job marketplace where employers publish vacancies under their own company name.
mp-al-merrjep,MerrJep,https://www.merrjep.al/,albania,general-classifieds,jobs; property; vehicles,both,freemium,,active,Albania's leading classifieds marketplace.
mp-dz-emploitic,Emploitic,https://emploitic.com/,algeria,jobs,,business,paid,,active,"Algeria's leading job marketplace, where employers hold public company pages."
mp-dz-ouedkniss,Ouedkniss,https://www.ouedkniss.com/,algeria,general-classifieds,jobs; property; vehicles,both,freemium,,active,Algeria's dominant classifieds marketplace.
mp-ar-argenprop,Argenprop,https://www.argenprop.com/,argentina,property,,both,paid,,active,A major Argentine property marketplace where agents hold public listings.
mp-ar-mercadolibre,Mercado Libre Argentina,https://www.mercadolibre.com.ar/,argentina,general-classifieds,vehicles,both,freemium,Mercado Libre,active,"The dominant Argentine marketplace, where sellers hold public storefronts."
mp-ar-zonaprop,Zonaprop,https://www.zonaprop.com.ar/,argentina,property,,both,paid,,active,"Argentina's main property marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-au-airtasker,Airtasker,https://www.airtasker.com/,australia,services,,both,freemium,,active,"An Australian services marketplace where providers hold public profiles. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-au-graysonline,Grays,https://www.graysonline.com/,australia,auctions,vehicles,both,paid,,unknown,An Australian online auction marketplace for industrial and consumer goods. [accessibility:2026-08-14] an automated browser check was refused by the site (access-denied); a browser check is needed by a person and the status stays unknown.
mp-au-gumtree,Gumtree Australia,https://www.gumtree.com.au/,australia,general-classifieds,jobs; property; vehicles,both,freemium,,unknown,Australia's main general classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (access-denied); a browser check is needed by a person and the status stays unknown.
mp-au-pickles,Pickles,https://www.pickles.com.au/,australia,auctions,vehicles,both,paid,,active,An Australian industrial and vehicle auction marketplace.
mp-au-seek,SEEK,https://www.seek.com.au/,australia,jobs,,business,paid,,unknown,"Australia's dominant job marketplace, where employers hold public company pages. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown."
mp-au-tradingpost,Trading Post,https://www.tradingpost.com.au/,australia,general-classifieds,vehicles,both,freemium,,unknown,A long-running Australian classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-au-bikesales,bikesales,https://www.bikesales.com.au/,australia,vehicles,,both,paid,,active,An Australian motorcycle marketplace where dealers hold public listings.
mp-au-boatsales,boatsales,https://www.boatsales.com.au/,australia,vehicles,,both,paid,,active,An Australian boat marketplace where dealers hold public listings.
mp-au-carsales,carsales,https://www.carsales.com.au/,australia,vehicles,,both,paid,,unknown,"Australia's main vehicle marketplace, where dealers hold public dealer pages. [accessibility:2026-08-14] an automated browser check was refused by the site (http 403); a browser check is needed by a person and the status stays unknown."
mp-au-ebay,eBay Australia,https://www.ebay.com.au/,australia,auctions,general-classifieds,both,freemium,,active,"The Australian storefront of the eBay marketplace, where businesses hold public seller shops."
mp-au-farmmachinerysales,farmmachinerysales,https://www.farmmachinerysales.com.au/,australia,b2b,vehicles,both,paid,,active,An Australian farm machinery marketplace where dealers hold public listings.
mp-au-realestate,realestate.com.au,https://www.realestate.com.au/,australia,property,,business,paid,,unknown,"Australia's main property marketplace, where agents hold public listings. [accessibility:2026-08-14] an automated browser check was refused by the site (http 429); a browser check is needed by a person and the status stays unknown."
mp-at-bazar,bazar.at,https://www.bazar.at/,austria,general-classifieds,vehicles,both,free,,active,An Austrian free classifieds portal.
mp-at-willhaben,willhaben,https://www.willhaben.at/,austria,general-classifieds,jobs; property; vehicles,both,freemium,,active,"Austria's largest classifieds marketplace, with dedicated commercial seller tooling."
mp-bh-opensooq,OpenSooq Bahrain,https://bh.opensooq.com/,bahrain,general-classifieds,jobs; property; services; vehicles,both,free,OpenSooq,active,"The Bahrain site of OpenSooq, the Arabic-language classifieds platform that says on its own about page that it runs in 20 countries with more than 120 buying and selling sections. It states free ad posting and carries cars, property, jobs and services."
