id,name,country,coverage,platform_type,procurement_intelligence_score,procurement_intelligence_band,procurement_model,supplier_actions,foreign_eligibility_state,electronic_submission,browser_check_state,evidence_level,best_for
al-sistemi-i-prokurimit,Sistemi i Prokurimit Elektronik (SPE) — Albanian Electronic Public Procurement System,albania,national,national-procurement,67,STRONG,registration-system,REGISTER; DOWNLOAD_DOCUMENTS,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; manufacturer
dz-portail-electronique-des-marches,Portail électronique des marchés publics,algeria,national,national-procurement,29,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,TRANSPORT_FAILURE,VERIFIED,
ar-buenos-aires-compras,Buenos Aires Compras (BAC),argentina,regional,regional-procurement,52,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,OBSERVABLE,local-sme; b2b-saas; industrial-supplier
ar-compr-ar,COMPR.AR,argentina,national,national-procurement,77,STRONG,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,COOKIE_GATE,VERIFIED,local-sme; b2b-saas; industrial-supplier
ar-contrat-ar,CONTRAT.AR,argentina,national,national-procurement,43,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,VERIFIED,local-sme
ar-pbac,PBAC - Provincia de Buenos Aires Compras,argentina,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,TRANSPORT_FAILURE,VERIFIED,
am-armeps,ARMEPS,armenia,national,national-procurement,24,LIMITED,unknown,MONITOR_ONLY,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,
au-ausconnect,AusConnect,australia,institutional,institutional-procurement,56,GOOD,project-financed-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,WAF,VERIFIED,infrastructure; professional-services
au-austender,AusTender,australia,national,national-procurement,81,EXCEPTIONAL,discovery-plus-documents,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; b2b-saas; industrial-supplier
au-austender-supplier-portal,AusTender Supplier Portal,australia,national,national-procurement,33,LIMITED,authorized-marketplace-or-tenant,MONITOR_ONLY,NOT_VERIFIED,unknown,NOT_REQUIRED,VERIFIED,
au-buyict,BuyICT,australia,national,sector-procurement,55,GOOD,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,logistics; local-sme; it-software
au-vic-buying-for-victoria-tenders,Buying for Victoria Tenders Portal,australia,regional,regional-procurement,75,STRONG,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,VERIFIED,local-sme; b2b-saas; industrial-supplier
au-nsw-local-government-procurement,Local Government Procurement (LGP),australia,regional,regional-procurement,63,GOOD,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,local-sme; logistics; industrial-supplier
au-qld-qtenders,QTenders,australia,regional,regional-procurement,33,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,local-sme
au-nt-quotations-and-tenders-online,Quotations and Tenders Online (QTOL),australia,regional,regional-procurement,67,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
au-sa-sa-tenders-and-contracts,SA Tenders and Contracts,australia,regional,regional-procurement,71,STRONG,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,OBSERVABLE,local-sme; industrial-supplier; professional-services
au-vic-supplier-hub,Supplier Hub (Buying for Victoria),australia,regional,regional-procurement,37,MODERATE,authorized-marketplace-or-tenant,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,VERIFIED,local-sme
au-tas-tasmanian-government-tenders,Tasmanian Government Tenders (eTendering),australia,regional,regional-procurement,67,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
