alert_id,opportunity_id,change_type,severity,actionable,supplier_profile,match_score,match_band,title,buyer,country_or_scope,source,previous_value,current_value,status,reason,notice_url,source_health,observed_at
alert_00fd91004a1a2055_engineering,canadabuys:ws4200235801-doc4200290562,CLASSIFICATION_CHANGED,MEDIUM,yes,engineering,75,GOOD,W7701-176500 Supply Arrangement C4ISR,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:81141902,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/18068380?anId=ANONYMOUS,HEALTHY,
alert_00fd91004a1a2055_infrastructure,canadabuys:ws4200235801-doc4200290562,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,W7701-176500 Supply Arrangement C4ISR,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:81141902,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/18068380?anId=ANONYMOUS,HEALTHY,
alert_014b71db10436376_industrial-supplier,canadabuys:cb-156-17992488,CLASSIFICATION_CHANGED,MEDIUM,yes,industrial-supplier,75,GOOD,Articulating Boom,Correctional Service of Canada (CSC),Canada,canadabuys,,UNSPSC:22101803,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_01efb1fd9480e01d_manufacturer,canadabuys:cb-566-68388718,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,POLYESTER FIBROUS CORD,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:31152100,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_023229b88f4e80f6_professional-services,canadabuys:cb-496-69627597,CLASSIFICATION_CHANGED,MEDIUM,yes,professional-services,75,GOOD,NPP – S5921711 - THS SA – Two (2) Computer Application Support. Temporary Help Services against the Supply Arrangement for the National Capital Region (NCR).​,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:80111600,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_03e9f063e0e48509_engineering,canadabuys:cb-480-32506555,CLASSIFICATION_CHANGED,MEDIUM,yes,engineering,75,GOOD,Multi-year Rental of an Autonomous Underwater Vehicle (AUV),Department of Natural Resources (NRCan),Canada,canadabuys,,"UNSPSC:25111900,UNSPSC:78111704,UNSPSC:81151806",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_03e9f063e0e48509_infrastructure,canadabuys:cb-480-32506555,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,Multi-year Rental of an Autonomous Underwater Vehicle (AUV),Department of Natural Resources (NRCan),Canada,canadabuys,,"UNSPSC:25111900,UNSPSC:78111704,UNSPSC:81151806",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_03e9f063e0e48509_logistics,canadabuys:cb-480-32506555,CLASSIFICATION_CHANGED,MEDIUM,yes,logistics,75,GOOD,Multi-year Rental of an Autonomous Underwater Vehicle (AUV),Department of Natural Resources (NRCan),Canada,canadabuys,,"UNSPSC:25111900,UNSPSC:78111704,UNSPSC:81151806",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_03e9f063e0e48509_manufacturer,canadabuys:cb-480-32506555,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,Multi-year Rental of an Autonomous Underwater Vehicle (AUV),Department of Natural Resources (NRCan),Canada,canadabuys,,"UNSPSC:25111900,UNSPSC:78111704,UNSPSC:81151806",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_0456dc1708346554_professional-services,canadabuys:cb-558-87159177,CLASSIFICATION_CHANGED,MEDIUM,yes,professional-services,75,GOOD,Electoral Material – Wooden Ruler,Office of the Chief Electoral Officer (Elections),Canada,canadabuys,,"UNSPSC:44120000,UNSPSC:44121600,UNSPSC:82121500",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_04a8a0585bd14804_professional-services,canadabuys:cb-879-79038207,CLASSIFICATION_CHANGED,MEDIUM,yes,professional-services,75,GOOD,Document review in support of the Evaluation of the Future Skills Program,Department of Employment and Social Development (ESDC),Canada,canadabuys,,UNSPSC:80100000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_051c6703bf2a15c7_healthcare,canadabuys:cb-108-17958527,CLASSIFICATION_CHANGED,MEDIUM,yes,healthcare,75,GOOD,On Site Diagnostic Imaging – Ontario Region,Correctional Service of Canada (CSC),Canada,canadabuys,,"UNSPSC:85100000,UNSPSC:85101600,UNSPSC:85121700,UNSPSC:85450000",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_05b0070e106bb32e_construction,canadabuys:ws5765522526-doc5769481976,CLASSIFICATION_CHANGED,MEDIUM,yes,construction,75,GOOD,W0107-265584 Maintenance Shelter,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:30241700,UNSPSC:95131700,UNSPSC:95140000",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110017228?anId=ANONYMOUS,HEALTHY,
alert_069c55da4c39fcbe_construction,canadabuys:cb-408-22835377,CLASSIFICATION_CHANGED,MEDIUM,yes,construction,75,GOOD,Boiler Replacement Project at the Harrow Research and Development Centre,Department of Agriculture and Agri-Food (AAFC),Canada,canadabuys,,"UNSPSC:72151001,UNSPSC:72151002",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_069c55da4c39fcbe_infrastructure,canadabuys:cb-408-22835377,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,Boiler Replacement Project at the Harrow Research and Development Centre,Department of Agriculture and Agri-Food (AAFC),Canada,canadabuys,,"UNSPSC:72151001,UNSPSC:72151002",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_06a9bac03b48e8de_healthcare,canadabuys:cb-541-63733984,CLASSIFICATION_CHANGED,MEDIUM,yes,healthcare,75,GOOD,SAR Vacuum Spine Boards,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:42171600,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
