id,source,source_platform_id,source_notice_id,source_url,title,buyer,country,project_country,subnational_scheme,subnational_code,coverage,notice_type,procedure_type,status,status_basis,published,deadline_iso,deadline_raw,deadline_precision,classification_schemes,classification_codes,value_amount,value_min,value_max,value_currency,value_basis,lot_count,language,electronic_submission,submission_url,framework_agreement,occurrence_count,multi_source,best_for
canadabuys:cb-1-54052272,canadabuys,ca-canadabuys,cb-1-54052272,https://canadabuys.canada.ca/en/tender-opportunities,National Moving Services - Request for Supply Arrangement (RFSA) - Wave B,Employment and Social Development Canada,canada,,,,national,OTHER,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2023-10-11,,2033-10-11T14:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-103-4328535,canadabuys,ca-canadabuys,cb-103-4328535,https://canadabuys.canada.ca/en/tender-opportunities,Internal Audit & Information Technology and System Audit Services for the Benefits Delivery Modernization Programme,Department of Employment and Social Development (ESDC),canada,,ISO-3166-2,CA-QC,national,REQUEST_FOR_PROPOSAL,Competitive - Selective tendering,OPEN,SOURCE_REPORTED,2026-07-08,,2026-08-25T14:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-108-17958527,canadabuys,ca-canadabuys,cb-108-17958527,https://canadabuys.canada.ca/en/tender-opportunities,On Site Diagnostic Imaging – Ontario Region,Correctional Service of Canada (CSC),canada,,ISO-3166-2,CA-ON,national,REQUEST_FOR_PROPOSAL,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2026-06-09,,2026-08-14T14:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-113-62180206,canadabuys,ca-canadabuys,cb-113-62180206,https://canadabuys.canada.ca/en/tender-opportunities,Inmate Purchasing Plan,Correctional Service Canada,canada,,,,national,PRIOR_INFORMATION,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2024-06-28,,2100-12-31T13:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-114-5241078,canadabuys,ca-canadabuys,cb-114-5241078,https://canadabuys.canada.ca/en/tender-opportunities,"Stage 2- Fort Simpson Staff Housing Energy Retrofit, Nahanni National Park Reserve",Parks Canada Agency (PC),canada,,,,national,REQUEST_FOR_PROPOSAL,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2026-08-07,,2026-08-13T16:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-115-62727059,canadabuys,ca-canadabuys,cb-115-62727059,https://canadabuys.canada.ca/en/tender-opportunities,Network Analysts for SharePoint Online,Department of National Defence (DND),canada,,ISO-3166-2,CA-ON,national,REQUEST_FOR_PROPOSAL,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2026-07-24,,2026-08-19T14:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-12-78921757,canadabuys,ca-canadabuys,cb-12-78921757,https://canadabuys.canada.ca/en/tender-opportunities,"Media Relations and Public Relations Services, Business Events",Destination Canada (DC),canada,,,,national,REQUEST_FOR_PROPOSAL,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2026-08-05,,2026-09-08T13:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-120-30888735,canadabuys,ca-canadabuys,cb-120-30888735,https://canadabuys.canada.ca/en/tender-opportunities,Lease of Two Highway Tractors with Sleepers - 1 Oct 2026 - 31 March 2027,Department of National Defence (DND),canada,,,,national,REQUEST_FOR_PROPOSAL,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2026-07-30,,2026-08-27T14:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-129-49280685,canadabuys,ca-canadabuys,cb-129-49280685,https://canadabuys.canada.ca/en/tender-opportunities,Laboratory Urinalysis Services (ACAN),Department of National Defence (DND),canada,,ISO-3166-2,CA-ON,national,PRIOR_INFORMATION,Advance contract award notice,OPEN,SOURCE_REPORTED,2026-08-11,,2026-08-27T14:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
canadabuys:cb-133-68868261,canadabuys,ca-canadabuys,cb-133-68868261,https://canadabuys.canada.ca/en/tender-opportunities,Accommodations in Quebec and Halifax,Department of National Defence (DND),canada,,,,national,REQUEST_FOR_PROPOSAL,Competitive - Open bidding,OPEN,SOURCE_REPORTED,2026-07-30,,2026-08-14T15:00:00,ZONELESS,,,,,,,,,"en,fr",,,,1,no,
